web-scraper-order,web-scraper-start-url,Paginacja,Tytuł,Teksty
"1688744829-159","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-im-looking-through-you.htm","""I'm Looking Through You""","I'm looking through you 

        Where did you go 

        I thought I knew you 

        What did I know 

        You don't look different 

        But you have changed 

        I'm looking through you 

        You're not the same"
"1688744832-160","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-im-gonna-sit-right-down-and-cry-over-you.htm","""I'm Gonna Sit Right Down And Cry (Over You)""","Lyrics go here"
"1688744835-161","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-im-down.htm","""I'm Down""","You tell lies thinking I can't see 

        You can't cry 'cause you're laughing at me 

        I'm down, I'm down, I''m down 

        How can you laugh when you know I'm down 

        How can you laugh when you know I'm down"
"1688744838-162","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-im-a-loser.htm","""I'm A Loser""","I'm a loser 

        I'm a loser 

        And I'm not what I appear to be"
"1688744841-163","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-ill-get-you.htm","""I'll Get You""","Oh yeah, oh yeah, 

        oh yeah, oh yeah, 

        Imagine I'm in love with you 

        it's easy 'cause I know 

        I've imagined I'm in love with you 

        many, many, many times before 

        It's not like me to pretend 

        But I'll get you 

        I'll get you in the end 

        Yes, I will, I'll get you in the end"
"1688744844-164","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-ill-follow-the-sun.htm","""I'll Follow The Sun""","One day you'll look to see I've gone 

        For tomorrow may rain, 

        so I'll follow the sun"
"1688744847-165","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-ill-be-on-my-way.htm","""I'll Be On My Way""","Lyrics go here"
"1688744850-166","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-ill-be-back.htm","""I'll Be Back""","You know, if you break my heart I'll go 

        But I'll be back again 

        'cause I told you once before goodbye 

        But I came back again"
"1688744856-167","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-if-i-needed-someone.htm","""If I Needed Someone""","If I needed someone to love 

        You're the one that I'd be thinking of 

        If I needed someone"
"1688744859-168","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-will.htm","""I Will""","Who knows how long I've loved you 

        You know I love you still 

        Will I wait a lonely life time 

        If you want me to I will"
"1688744862-169","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-want-you-shes-so-heavy.htm","""I Want You (She's So Heavy)""","I want you 

        I want you so bad 

        I want you 

        I want you so bad 

        It's driving me mad 

        It's driving me mad"
"1688744865-170","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-want-to-tell-you.htm","""I Want To Tell You""","I want to tell you 

        My head is filled with things to say 

        When you're here 

        All those words they seem to slip away"
"1688744868-171","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-want-to-hold-your-hand.htm","""I Want To Hold Your Hand""","I'll tell you something 

        I think you'll understand 

        When I say that something 

        I want to hold your hand 

        I want to hold your hand 

        I want to hold your hand"
"1688744871-172","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-wanna-be-your-man.htm","""I Wanna Be Your Man""","I wanna be your lover baby 

        I wanna be your man 

        I wanna be your lover baby 

        I wanna be your man"
"1688744874-173","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-I-saw-her-standing-there.htm","""I Saw Her Standing There""","Well, she was just seventeen 

        You know what I mean 

        And the way she looked 

        Was way beyond compare 

        So how could I dance with another, 

        Oh, when I saw her standing there"
"1688744877-174","https://www.brianhartzog.com/beatles/beatles-alphabetical-list-of-all-lyrics.htm","https://www.brianhartzog.com/beatles/beatles-song-lyrics-to-i-need-you.htm","""I Need You""","You don't realize how much I need you 

        Love you all the time and never leave you 

        Please come on back to me 

        I'm lonely as can be 

        I need you"
