web-scraper-order,web-scraper-start-url,Paginacja,Tytuł,Teksty
"1688740324-11","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/kiss-you-sharoque-remix-lyrics/","One Direction - Kiss You (Sharoque Remix) Lyrics","Oh I just want to take you anywhere that you like

We could go out any day, any night

Baby I'll take you there, take you there

Baby I'll take you there, yeah



Oh tell me, tell me, tell me how to turn your love on

You can get, get anything that you want

Baby just shout it out, shout it out

Baby just shout it out, yeah



And if you

You want me too

Let's make a move

Yeah

So tell me girl if every time we



Tou-ou-ouch

You get this kind of

Ru-u-ush

Baby say yeah yeah yeah

Yeah yeah yeah

If you don't want to take it slow

And you just want to take me home

Baby say yeah yeah yeah

Yeah yeah

And let me kiss you



Oh baby, baby don't you know you got what I need

Lookin' so good from your head to your feet

Come a-come over here, over here

Come a-come over here, yeah



Oh I just want to show you off to all of my friends

Makin' them drool down their chinny chin chins

Baby be mine tonight, mine tonight

Baby be mine tonight, yeah



And if you

You want me too

Let's make a move

Yeah

So tell me girl if every time we



Tou-ou-ouch

You get this kind of

Ru-u-ush

Baby say yeah yeah yeah

Yeah yeah yeah

If you don't want to take it slow

And you just want to take me home

Baby say yeah yeah yeah

Yeah yeah

And let me kiss you



Let me kiss you, let me kiss you

Let me kiss you, let me kiss you



Na na, na na na na, na na

Na na, na na na na, na na

Na na, na na na na, na na

Yeah

So tell me girl if every time we



Tou-ou-ouch

You get this kind of

Ru-u-ush

Baby say yeah yeah yeah

Yeah yeah yeah

If you don't want to take it slow

And you just want to take me home

Baby say yeah yeah yeah

Yeah yeah yeah



Every time we

Tou-ou-ouch

You get this kind of

Ru-u-ush

Baby say yeah yeah yeah

Yeah yeah yeah

If you don't want to take it slow

And you just want to take me home

Baby say yeah yeah yeah

Yeah yeah

And let me kiss you"
"1688740327-12","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/best-song-ever-lyrics/","One Direction - Best Song Ever Lyrics","Maybe it's the way she walked (Wow!)

Straight into my heart and stole it

Through the doors and passed the guards (Wow!)

Just like she already owned it



I said, ""Can you give it back to me?""

She said, ""Never in your wildest dreams!""



And we danced all night to the best song ever

We knew every line, now I can't remember

How it goes but I know that I won't forget her

'Cause we danced all night to the best song ever



I think it went oh, oh, oh

I think it went yeah, yeah, yeah

I think it goes...



Said her name was Georgia Rose (Wow!)

And her daddy was a dentist

Said I had a dirty mouth (I got a dirty mouth)

But she kissed me like she meant it



I said, ""Can I take you home with me?""

She said, ""Never in your wildest dreams!""



And we danced all night to the best song ever

We knew every line, now I can't remember

How it goes but I know that I won't forget her

'Cause we danced all night to the best song ever



I think it went oh, oh, oh

I think it went yeah, yeah, yeah

I think it goes...



You know, I know, you know I'll remember you

And I know, you know, I know you'll remember me



You know, I know, you know I'll remember you (Oh, oh, oh, yeah, yeah, yeah)

And I know, you know, I hope you remember (Oh, oh, oh, yeah, yeah, yeah)

How we danced (Oh, oh, oh, yeah, yeah, yeah)

How we danced (Oh, oh, oh)

1, 2, 1, 2, 3



How we danced all night to the best song ever

We knew every line, now I can't remember

How it goes but I know that I won't forget her

'Cause we danced all night to the best song ever (We danced, we danced, it goes something like, yeah)



And we danced all night to the best song ever

We knew every line, now I can't remember

How it goes but I know that I won't forget her

'Cause we danced all night to the best song ever



I think it went oh, oh, oh

I think it went yeah, yeah, yeah

I think it goes...



Best song ever

It was the best song ever

It was the best song ever"
"1688740330-13","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/one-way-or-anotherteenage-kicks-lyrics/","One Direction - One Way or Another（Teenage Kicks） Lyrics","One way or another, I'm gonna find ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna see ya



I'm gonna meet ya, meet ya, meet ya, meet ya

One day, maybe next week

I'm gonna meet ya, I'm gonna meet ya, I'll meet ya

I will drive past your house

And if the lights are all down



I'll see who's around

Let's go!

One way or another, I'm gonna find ya



I'm gonna get ya, get ya, get ya, get ya



One way or another, I'm gonna win ya

I'll get ya, I'll get ya

One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One day, maybe next week



I'm gonna meet ya, I'll meet ya

And if the lights are all out

I'll follow your bus downtown

See who's hanging out

Na na na na na, na na na na



I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight



Yeah, teenage kicks right through the night



C'mon



I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight

Yeah, teenage kicks right through the night



One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another"
"1688740333-14","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/one-way-or-another-teenage-kicks-lyrics/","One Direction - One Way or Another (Teenage Kicks) Lyrics","One way or another, I'm gonna find ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna see ya



I'm gonna meet ya, meet ya, meet ya, meet ya

One day, maybe next week

I'm gonna meet ya, I'm gonna meet ya, I'll meet ya

I will drive past your house

And if the lights are all down



I'll see who's around

Let's go!

One way or another, I'm gonna find ya



I'm gonna get ya, get ya, get ya, get ya



One way or another, I'm gonna win ya

I'll get ya, I'll get ya

One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One day, maybe next week



I'm gonna meet ya, I'll meet ya

And if the lights are all out

I'll follow your bus downtown

See who's hanging out

Na na na na na, na na na na



I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight



Yeah, teenage kicks right through the night



C'mon



I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight

I wanna hold you, wanna hold you tight

Yeah, teenage kicks right through the night



One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another, I'm gonna see ya

I'm gonna meet ya, meet ya, meet ya, meet ya

One way or another, I'm gonna win ya

I'm gonna get ya, get ya, get ya, get ya

One way or another"
"1688740336-15","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/wonderwall-lyrics/","One Direction - Wonderwall Lyrics","Today is gonna be the day that they're gonna throw it back to you

By now you should've, somehow, realized what you gotta do

I don't believe that anybody feels the way I do about you now

Back beat, the word is on the street that the fire in your heart is out

I'm sure you've heard it all before but you never really had a doubt

I don't believe that anybody feels the way I do about you now

And all the roads we have to walk are winding

And all the lights that lead us there are blinding

There are many things that I would like to say to you

But I don't know how

Because maybe

You're gonna be the one that saves me

And after all

You're my wonderwall

Today was gonna be the day but they'll never throw it back to you

By now you shoulda somehow realized what you're not to do

I don't believe that anybody feels the way I do about you now

I said maybe

You're gonna be the one that saves me

And after all

You're my wonderwall"
"1688740339-16","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/story-of-my-life-workout-mix-by-jilian-marshall-lyrics/","One Direction - Story of My Life (Workout Mix by Jilian Marshall) Lyrics","Written in these walls are the stories

That I can't explain

I leave my heart open

But it stays right here empty for days



She told me in the morning

She don't feel the same about us in her bones

It seems to me that when I die

These words will be written on my stone



And I'll be gone gone tonight

The ground beneath my feet is open wide

The way that I've been holdin' on too tight

With nothing in between



The story of my life I take her home

I drive all night to keep her warm and time

Is frozen (the story of, the story of)

The story of my life I give her hope

I spend her love

Until she's broke inside

The story of my life (the story of, the story of)



Written on these walls

Are the colors that I can't change

Leave my heart open

But it stays right here in its cage



I know that in the morning now

I see us in the light upon a hill

Althought I am broken

My heart is untamed, still



And I'll be gone gone tonight

The fire beneath my feet is burning bright

The way that I've been holdin' on so tight

With nothing in between



The story of my life I take her home

I drive all night to keep her warm and time

Is frozen (the story of, the story of)

The story of my life I give her hope

I spend her love

Until she's broke inside

The story of my life (the story of, the story of)



And I've been waiting for this time to come around

But baby running after you

Is like chasing the clouds



The story of my life I take her home

I drive all night to keep her warm and time

Is frozen

The story of my life

I give her hope (give her hope)

I spend her love

Until she's broke inside (until she's broke inside)

The story of my life (the story of, the story of)

The story of my life

The story of my life (the story of, the story of)

The story of my life"
"1688740342-17","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/best-song-ever-workout-mix-by-dr-pack-lyrics/","One Direction - Best Song Ever (Workout Mix by Dr. Pack) Lyrics","Maybe it's the way she walked

Straight into my heart and stole it

Through the doors and past the guards

Just like she already owned it



I said can you give it back to me

She said never in your wildest dreams



And we danced all night to the best song ever

We knew every line now I can't remember

How it goes but I know that I won't forget her

Cause we danced all night to the best song ever



I think it went

Oh oh oh

I think it went

Yeah yeah yeah

Oh think it went

Ohh

Woo!



Said her name was Georgia Rose

And her daddy was a dentist

Said I had a dirty mouth

But she kissed me like she meant it



I said can I take you home with me

She said never in your wildest dreams



And we danced all night to the best song ever

We knew every line now I can't remember

How it goes but I know that I won't forget her

Cause we danced all night to the best song ever



I think it went

Oh oh oh

I think it went

Yeah yeah yeah

O think it went

Ohh

Woo!



You know, I know you know

I'll remember you

I know, you know I know

You'll remember me



You know, I know you know

I'll remember you

I know, you know I hope

You'll remember how we danced

How we danced



One, two

One, two, three



And we danced all night to the best song ever

We knew every line now I can't remember

How it goes but I know that I won't forget her

Cause we danced all night to the best song ever



And we danced all night to the best song ever

We knew every line now I can't remember

How it goes but I know that I won't forget her

Cause we danced all night to the best song ever



I think it went

Oh oh oh

I think it went

Yeah yeah yeah

O think it went

Ohh

Woo!



Best song ever

It was the best song ever

It was the best song ever"
"1688740345-18","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/grenade-lyrics/","One Direction - Grenade Lyrics","Easy come easy go thats just how you live

Oh take take take it all but you never give

Shouldve known you was trouble from the first kiss

Had your eyes wide open

Why were they open?



Gave you all I had and you tossed it in the trash

You tossed it in the trash you did

To give me all your love is all I ever asked

cause what you dont understand

Is Id catch a grenade for ya

Throw my hand on the blade for ya

Id jump in front of a train for ya

You know Id do anything for ya

See I would go through all this pain

Take a bullet straight through my brain



Yes I would die for ya baby, but you wont do the same.



Black, black, black and blue beat me till Im am numb

Tell the devil I said hey when you get back to where

youre from



Bad women bad women thats just what you are yeah

You smile in my face then rip the breaks out my car



Gave you all I had and you tossed it in the trash

You tossed it in the trash yes you did

To give me all your fucking love

Is all I ever asked but what you dont understand

Is Id catch a grenade for ya

Throw my hand on the blade for ya

Id jump in front of a train for ya

You know Id do anything for ya

Listen babe I would go through all this pain yeah

Take a bullet straight through my brain

Yes I would die for ya baby, but you wont do the same."
"1688740348-19","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/nando-s-song-lyrics/","One Direction - Nando's Song Lyrics","You're insecure

so half a 4

you're old brains are not what they were befo-o-ore

add two threes

it's fun for us



'cause we're young and we can still remember stu-u-uff

everyone else can multiply by sixty

everyone else can add two

now take off 100 and add on 24



then divide by two and add on seven more

and if you're stuggling now it's not hard to tell

you don't kno-o-ow

'cause your mathskills are terrible

if only you had a mind like me



you'd understand how to divide the sum by three

and then just add on the age of this OAP

You don't kno-o-ow

'cause your mathskills are terrible

it's really kind of pittyful"
"1688740351-20","https://www.songlyrics.com/one-direction-lyrics/","https://www.songlyrics.com/one-direction/vas-happening-boys-lyrics/","One Direction - Vas Happening Boys Lyrics","There once was a group with Liam and Niall

Vas happenin' boys? Vas happenin' boys?

They lived with Zayn and their room was vile

Vas happenin' boys? Vas happenin' boys?

Did you know, Harry's such a slob?

He needs to win X Factor ‘cause he can get a job

And Oh, Louis needs a boat

He dresses like he owns one, ‘cause he's got not other clothes

They really need your vote

Vas happenin' boys? Vas happenin' boys?

Mick Jagger could be Harry's Dad

Vas happenin' Mum? Vas happenin' Mick?

When Liam's sing he makes his face look sad

Vas happenin' song? Vas happenin' sad?

And Zayn's the master of echoes

Echo echo echo

And Niall was raised by leprechauns

So he won't ever grow

And Oh, Louis needs that boat

He dresses like he owns one

and it's becoming a joke

They really need your vote

Vas happenin' boys? Vas happenin' boys?

Vas happenin' boys? Vas happenin' boys?

Vas happenin' boys? Vas happenin' boys?

Vas happenin' Bob? Bob Bobidy

Bidy Bob Bob Bidy"
